Versao,Largura,Altura,Threads,Estrategia,TempoMedio,DesvioPadrao
OpenMP,512,512,1,static,0.006161,0.001145
OpenMP,512,512,2,static,0.002954,0.000153
OpenMP,512,512,4,static,0.001424,0.000123
OpenMP,512,512,8,static,0.001879,0.000431
OpenMP,512,512,16,static,0.001614,0.000162
OpenMP,1024,1024,1,static,0.023756,0.000723
OpenMP,1024,1024,2,static,0.013243,0.002053
OpenMP,1024,1024,4,static,0.006566,0.001113
OpenMP,1024,1024,8,static,0.007451,0.001857
OpenMP,1024,1024,16,static,0.006828,0.000669
OpenMP,4096,4096,1,static,0.428938,0.030079
OpenMP,4096,4096,2,static,0.258784,0.016942
OpenMP,4096,4096,4,static,0.477692,0.162643
OpenMP,4096,4096,8,static,0.286172,0.085811
OpenMP,4096,4096,16,static,0.339257,0.131518
OpenMP,512,512,1,dynamic,0.007159,0.000144
OpenMP,512,512,2,dynamic,0.003741,0.000170
OpenMP,512,512,4,dynamic,0.002138,0.000119
OpenMP,512,512,8,dynamic,0.006413,0.000834
OpenMP,512,512,16,dynamic,0.002069,0.000179
OpenMP,1024,1024,1,dynamic,0.036035,0.001781
OpenMP,1024,1024,2,dynamic,0.019234,0.000405
OpenMP,1024,1024,4,dynamic,0.013602,0.001611
OpenMP,1024,1024,8,dynamic,0.014646,0.002536
OpenMP,1024,1024,16,dynamic,0.015436,0.001179
OpenMP,4096,4096,1,dynamic,0.717763,0.140830
OpenMP,4096,4096,2,dynamic,0.343042,0.049251
OpenMP,4096,4096,4,dynamic,0.254724,0.082173
OpenMP,4096,4096,8,dynamic,0.268899,0.108888
OpenMP,4096,4096,16,dynamic,0.229496,0.077376
OpenMP,512,512,1,collapse,0.006300,0.000139
OpenMP,512,512,2,collapse,0.003356,0.000168
OpenMP,512,512,4,collapse,0.002030,0.000578
OpenMP,512,512,8,collapse,0.001858,0.000343
OpenMP,512,512,16,collapse,0.002085,0.000202
OpenMP,1024,1024,1,collapse,0.029630,0.000703
OpenMP,1024,1024,2,collapse,0.015720,0.000379
OpenMP,1024,1024,4,collapse,0.011004,0.001038
OpenMP,1024,1024,8,collapse,0.021203,0.005971
OpenMP,1024,1024,16,collapse,0.011636,0.000615
OpenMP,4096,4096,1,collapse,0.543976,0.122765
OpenMP,4096,4096,2,collapse,0.353759,0.047158
OpenMP,4096,4096,4,collapse,0.271184,0.090016
OpenMP,4096,4096,8,collapse,0.252125,0.090994
OpenMP,4096,4096,16,collapse,0.245010,0.075632
