Versao,Largura,Altura,Threads,TempoMedio,DesvioPadrao
Threads,512,512,1,0.172704,0.012218
Threads,512,512,2,0.112811,0.027474
Threads,512,512,4,0.091219,0.027746
Threads,512,512,8,0.071080,0.012252
Threads,512,512,16,0.069808,0.009242
Threads,1024,1024,1,0.685266,0.046778
Threads,1024,1024,2,0.422199,0.109159
Threads,1024,1024,4,0.274320,0.044108
Threads,1024,1024,8,0.305160,0.083068
Threads,1024,1024,16,0.247030,0.034017
Threads,4096,4096,1,11.687307,0.442967
Threads,4096,4096,2,5.961533,0.288530
Threads,4096,4096,4,3.931678,0.488119
Threads,4096,4096,8,3.546343,0.685817
Threads,4096,4096,16,1.941782,0.269171
